Name,URL,Address,ZIP
柴原温泉 かやの家,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=sk097,埼玉県秩父市荒川小野原1009-1,369-1804
蛇の湯温泉 たから荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=tt100,東京都西多摩郡檜原村数馬2465,190-0221
裂石温泉 雲峰荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=yu125,山梨県甲州市塩山上萩原2715-23,404-0022
桃の木温泉 山和荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=yb127,山梨県南アルプス市芦安芦倉1672,400-0241
赤石温泉 赤石温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ya124,山梨県南巨摩郡富士川町平林3243,400-0514
十谷上湯温泉 源氏の湯,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=yg191,山梨県南巨摩郡富士川町十谷4249,400-0606
奈良田温泉 白根館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ys126,山梨県南巨摩郡早川町奈良田344,409-2701
船原温泉 山あいの宿 うえだ,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=su163,静岡県伊豆市上船原466-1,410-3216
湯ヶ島温泉 湯本館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=sy167,静岡県伊豆市湯ヶ島1656-1,410-3206
湯ヶ野温泉 福田家,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=sf166,静岡県賀茂郡河津町湯ヶ野236,413-0507
雲見温泉 かわいいお宿 雲見園,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=sk164,静岡県賀茂郡松崎町雲見401,410-3615
桜田温泉 山芳園,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ss187,静岡県賀茂郡松崎町桜田569-1,410-3625
内山峠 初谷温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ns139,長野県佐久市内山352-イ-1,385-0031
高峰高原 高峰温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nt142,長野県小諸市高峰高原704-1,384-0041
